X,ieee802154Narrow.computer[0].appl/Number of packets sent from anchor 12
1.86,5
4.28,6
6.7,7
9.12,7
11.54,9
13.96,10
16.38,10
18.8,10
21.22,10
23.64,10
26.06,10
28.48,10
30.9,9
33.32,9
35.74,10
38.16,10
40.58,11
43,10
45.42,10
47.84,10
50.26,10
52.68,9
55.1,8
57.52,9
59.94,9
62.36,10
64.78,10
67.2,11
69.62,11
72.04,12
74.46,12
76.88,12
79.3,11
81.72,11
84.14,10
86.56,10
88.98,10
91.4,10
93.82,10
96.24,10
98.66,10
101.08,10
103.5,10
105.92,10
108.34,10
110.76,10
113.18,10
115.6,9
118.02,8
120.44,8
122.86,8
125.28,8
127.7,8
130.12,10
132.54,10
134.96,10
137.38,10
139.8,10
142.22,11
144.64,11
147.06,11
149.48,11
151.9,12
154.32,12
156.74,12
159.16,12
161.58,12
164,13
166.42,13
168.84,13
171.26,13
173.68,13
176.1,14
178.52,13
180.94,13
183.36,13
185.78,11
188.2,11
190.62,10
193.04,9
195.46,9
197.88,9
200.3,9
202.72,9
205.14,9
207.56,9
209.98,9
212.4,8
214.82,8
217.24,8
219.66,9
222.08,10
224.5,10
226.92,9
229.34,10
231.76,10
234.18,10
236.6,9
239.02,9
241.44,9
243.86,9
246.28,9
248.7,10
251.12,10
253.54,10
255.96,10
258.38,10
260.8,10
263.22,11
265.64,9
268.06,11
270.48,11
272.9,12
275.32,12
277.74,11
280.16,11
282.58,11
285,11
287.42,11
289.84,11
292.26,11
294.68,11
297.1,11
299.52,10
301.94,10
304.36,10
306.78,9
309.2,9
311.62,9
314.04,10
316.46,10
318.88,10
321.3,11
323.72,11
326.14,11
328.56,11
330.98,11
333.4,12
335.82,12
338.24,12
340.66,12
343.08,12
345.5,12
347.92,12
350.34,12
352.76,12
355.18,12
357.6,12
360.02,12
362.44,12
364.86,12
367.28,11
369.7,10
372.12,10
374.54,9
376.96,9
379.38,9
381.8,9
384.22,10
386.64,10
389.06,10
391.48,9
393.9,9
396.32,9
398.74,9
401.16,9
403.58,9
406,9
408.42,9
410.84,9
413.26,9
415.68,9
418.1,9
420.52,9
422.94,9
425.36,8
427.78,8
430.2,8
432.62,7
435.04,7
437.46,6
439.88,7
442.3,7
444.72,7
447.14,7
449.56,7
451.98,7
454.4,8
456.82,8
459.24,8
461.66,8
464.08,9
466.5,8
468.92,8
471.34,8
473.76,9
476.18,9
478.6,9
481.02,9
483.44,8
