X,ieee802154Narrow.computer[0].appl/Number of packets sent from mobile node 0
1.86,7
4.28,7
6.7,7
9.12,6
11.54,5
13.96,5
16.38,6
18.8,7
21.22,6
23.64,6
26.06,5
28.48,6
30.9,7
33.32,7
35.74,6
38.16,5
40.58,5
43,3
45.42,6
47.84,5
50.26,5
52.68,6
55.1,6
57.52,6
59.94,5
62.36,5
64.78,4
67.2,2
69.62,5
72.04,3
74.46,5
76.88,3
79.3,4
81.72,4
84.14,5
86.56,5
88.98,5
91.4,5
93.82,4
96.24,2
98.66,6
101.08,5
103.5,4
105.92,4
108.34,4
110.76,6
113.18,6
115.6,4
118.02,5
120.44,5
122.86,5
125.28,3
127.7,4
130.12,4
132.54,4
134.96,4
137.38,4
139.8,4
142.22,4
144.64,4
147.06,3
149.48,3
151.9,4
154.32,4
156.74,4
159.16,3
161.58,3
164,4
166.42,4
168.84,3
171.26,3
173.68,3
176.1,4
178.52,7
180.94,7
183.36,6
185.78,6
188.2,6
190.62,5
193.04,6
195.46,7
197.88,6
200.3,7
202.72,7
205.14,7
207.56,6
209.98,6
212.4,6
214.82,7
217.24,6
219.66,7
222.08,7
224.5,6
226.92,6
229.34,7
231.76,7
234.18,7
236.6,6
239.02,7
241.44,6
243.86,6
246.28,7
248.7,7
251.12,7
253.54,7
255.96,7
258.38,7
260.8,7
263.22,8
265.64,7
268.06,7
270.48,7
272.9,6
275.32,7
277.74,7
280.16,6
282.58,7
285,7
287.42,7
289.84,7
292.26,7
294.68,8
297.1,8
299.52,7
301.94,7
304.36,7
306.78,7
309.2,7
311.62,7
314.04,7
316.46,6
318.88,6
321.3,7
323.72,7
326.14,7
328.56,7
330.98,7
333.4,7
335.82,7
338.24,7
340.66,7
343.08,8
345.5,7
347.92,7
350.34,7
352.76,7
355.18,6
357.6,7
360.02,6
362.44,7
364.86,7
367.28,6
369.7,7
372.12,7
374.54,8
376.96,8
379.38,7
381.8,7
384.22,7
386.64,8
389.06,8
391.48,8
393.9,8
396.32,7
398.74,7
401.16,7
403.58,6
406,5
408.42,6
410.84,6
413.26,6
415.68,6
418.1,6
420.52,6
422.94,6
425.36,6
427.78,6
430.2,6
432.62,6
435.04,6
437.46,6
439.88,7
442.3,7
444.72,7
447.14,7
449.56,7
451.98,8
454.4,8
456.82,8
459.24,7
461.66,7
464.08,7
466.5,8
468.92,8
471.34,8
473.76,7
476.18,7
478.6,6
481.02,7
483.44,6
