X,ieee802154Narrow.computer[0].appl/received-packets-per-period
1.86,91
4.28,88
6.7,91
9.12,91
11.54,89
13.96,90
16.38,88
18.8,89
21.22,88
23.64,91
26.06,89
28.48,90
30.9,90
33.32,92
35.74,89
38.16,91
40.58,89
43,93
45.42,90
47.84,91
50.26,95
52.68,94
55.1,90
57.52,90
59.94,91
62.36,87
64.78,83
67.2,88
69.62,91
72.04,96
74.46,95
76.88,89
79.3,88
81.72,93
84.14,94
86.56,94
88.98,92
91.4,98
93.82,93
96.24,90
98.66,91
101.08,98
103.5,93
105.92,88
108.34,92
110.76,92
113.18,90
115.6,91
118.02,94
120.44,96
122.86,98
125.28,97
127.7,95
130.12,97
132.54,97
134.96,97
137.38,98
139.8,97
142.22,102
144.64,101
147.06,106
149.48,103
151.9,105
154.32,100
156.74,97
159.16,101
161.58,104
164,104
166.42,104
168.84,101
171.26,102
173.68,102
176.1,99
178.52,100
180.94,102
183.36,102
185.78,101
188.2,114
190.62,106
193.04,97
195.46,97
197.88,95
200.3,95
202.72,95
205.14,98
207.56,97
209.98,100
212.4,101
214.82,102
217.24,104
219.66,104
222.08,101
224.5,99
226.92,101
229.34,97
231.76,96
234.18,101
236.6,97
239.02,97
241.44,102
243.86,97
246.28,93
248.7,92
251.12,93
253.54,96
255.96,97
258.38,102
260.8,100
263.22,101
265.64,101
268.06,103
270.48,111
272.9,99
275.32,98
277.74,99
280.16,101
282.58,107
285,94
287.42,97
289.84,94
292.26,96
294.68,97
297.1,95
299.52,98
301.94,95
304.36,94
306.78,93
309.2,96
311.62,99
314.04,100
316.46,98
318.88,97
321.3,104
323.72,100
326.14,102
328.56,99
330.98,105
333.4,106
335.82,96
338.24,99
340.66,93
343.08,96
345.5,99
347.92,100
350.34,98
352.76,99
355.18,101
357.6,104
360.02,101
362.44,102
364.86,106
367.28,100
369.7,102
372.12,102
374.54,101
376.96,103
379.38,97
381.8,91
384.22,95
386.64,90
389.06,93
391.48,96
393.9,91
396.32,95
398.74,91
401.16,94
403.58,94
406,103
408.42,91
410.84,88
413.26,100
415.68,97
418.1,96
420.52,95
422.94,98
425.36,101
427.78,109
430.2,104
432.62,104
435.04,98
437.46,98
439.88,101
442.3,97
444.72,97
447.14,95
449.56,101
451.98,102
454.4,92
456.82,95
459.24,96
461.66,96
464.08,104
466.5,102
468.92,113
471.34,108
473.76,99
476.18,97
478.6,99
481.02,94
483.44,90
